"Stadtteil";"u_intervall_1";"u_intervall_2";"u_intervall_3";"u_intervall_4";"u_intervall_5";"o_intervall_1";"o_intervall_2";"o_intervall_3";"o_intervall_4";"o_intervall_5";"mean_1";"mean_2";"mean_3";"mean_4";"mean_5";"median_1";"median_2";"median_3";"median_4";"median_5"
"Altenburg";164,530117011404;404,230047750194;147,05484812659;28,4317599938074;9,2963677402277;284,440983322485;450,804409136313;232,165882466681;55,5843765409607;22,7563179893907;224,943796660825;429,04113182964;186,548724837774;40,8292261083933;14,6371205633686;224,855101401482;429,887764793215;184,607486244006;40,5105254994521;14,2418638551496
"Am Bismarckturm";107,916284936104;104,410497715561;21,9949311797654;3,68363106684012;1,13776612410851;164,007875066452;138,728698231633;41,0770104858346;8,35965210042498;3,10990364010173;134,654249513129;123,757434596799;30,9560355123697;5,68106506808555;1,951215309616;134,938511125968;124,298905518366;30,5325963617311;5,54873870637279;1,88296736516292
"Am Pragfriedhof";165,249239544655;404,027798590284;148,461707007573;28,6239909265771;9,08149907195894;278,503205934106;445,643036977639;231,9789656547;57,1574429896194;22,4282109981134;217,926555591337;425,423107116687;187,622610980072;41,2470088053447;14,7807175065587;216,615939331938;426,026651809295;186,613896788556;40,8083355115549;14,3705593741903
"Am Rosensteinpark";4,2074809128815;11,7497105278155;4,85920066983078;0,984803670293956;0,315124352556081;7,11527199094714;13,0423018651601;7,40004274930087;1,91514807806731;0,759487010187293;5,59288654355975;12,4347929404962;6,0834177384221;1,38727308704243;0,501629690479531;5,58716680122406;12,4539575435868;6,06104311140389;1,37142042341622;0,481939274348812
"An der Burg";235,957097246966;259,097234628572;56,78711882247;9,34333341764071;3,05549891287415;357,403349862097;327,668983296087;103,27833958221;20,8866279397931;7,87143665387833;294,19837401537;297,573446903499;78,5762960332197;14,619393746411;5,03248930149968;293,578458066979;298,837858668188;77,9882630694022;14,4677215066987;4,86513004754838
"Asemwald";317,243583338463;130,578190621663;20,0869505115117;3,16744310524849;0,985614922253631;418,163849839258;206,753330334046;40,4613059335935;7,35181711986052;2,66217230437043;371,06267122531;167,276813045404;29,0730638289849;4,9232157443923;1,66423615590909;371,264670664102;167,745728015911;28,5572228043726;4,81831403545141;1,59551025423503
"Auf der Prag";447,971299304559;1289,65255216985;567,009097425835;114,128334677608;37,2625876701096;787,403669447477;1455,04686123891;858,487571005795;232,230190506095;91,0482490198795;609,978729409788;1379,74144135389;706,465033435604;165,519437400995;60,2953583997213;605,821316229259;1380,83444297008;706,947499923573;163,961250095796;58,1914716191423
"Bahnhof Feuerbach";370,350312762558;653,813216460105;182,85875480914;32,7701205202308;10,4637594343916;608,242134283394;749,512728984108;316,047090424705;70,8341070405222;27,2487755529597;478,808316446846;709,713540518864;247,021101029194;49,9399054286155;17,51713657648;476,465304426769;712,974446544101;245,045174536508;49,3309044889665;16,9245274660395
"Benzviertel";17,2212725929793;57,8574939470981;29,0446092641359;6,0203240669934;2,03282270842869;36,2304149569347;69,203234179218;46,9479951608806;13,8730897599756;5,71354737315516;25,0648012478178;64,1560661362031;38,3973373222307;9,74159490738063;3,64020038636775;24,463081904685;64,3884022530621;38,5181356902368;9,59838563148141;3,56821582384513
"Berg";191,701153488653;717,361287197697;480,57635545798;114,365445666706;38,6601100090038;345,489259195316;847,682041529964;650,67720011012;205,407679898091;86,6575913872612;261,838777311161;789,005629558224;564,830564806974;157,080515224964;60,2445130986771;258,120188152917;791,502144823443;563,365171657315;155,093433935931;59,1218495741318
